Chr5	Chr9	Chr13	Chr14	Chr20	cancer	ploidy	deathRate	missegregationRate
3.996	3.996	3.996	3.996	3.696	GBM	3.996	0.0173286795139986	0.1952
1.949	1.949	1.849	1.949	1.949	GBM	1.949	0.0231049060186649	0.044675
1.843	1.843	1.143	1.843	1.843	GBM	1.843	0.0173286795139986	0.027725
2.055	2.055	2.055	2.055	2.055	GBM	2.055	0.0231049060186649	0.054125
3.14	2.24	3.24	3.14	3.14	GBM	3.14	0.00770163533955495	0.1235
3.652	4.052	4.052	4.052	3.552	GBM	4.052	0.0173286795139986	0.1904
1.921	1.921	1.921	1.021	1.921	GBM	1.921	0.00831776616671935	0.030575
1.965	1.965	1.965	1.965	2.565	GBM	1.965	0.00831776616671935	0.056375
2.003	2.003	2.003	2.003	2.603	GBM	2.003	0.00831776616671935	0.059225
2.052	2.052	2.052	2.052	3.052	GBM	2.052	0.0173286795139986	0.0689
1.884	1.684	1.684	0.884	2.484	GBM	1.884	0.00831776616671935	0.0293
3.069	2.169	1.769	1.769	2.869	GBM	2.769	0.0173286795139986	0.074675
1.537	1.937	1.237	1.937	1.637	GBM	1.937	0.0173286795139986	0.024275
2.141	2.141	2.141	2.141	2.741	GBM	2.141	0.0231049060186649	0.069575
3.859	4.359	3.559	2.359	3.359	GBM	3.359	0.0115524530093324	0.162425
1.998	2.098	1.898	2.098	2.298	GBM	2.098	0.0231049060186649	0.05585
2.003	2.003	1.103	2.003	2.003	GBM	2.003	0.0173286795139986	0.036725
1.912	2.312	1.912	2.012	1.912	GBM	1.912	0.0231049060186649	0.0509
1.909	1.909	1.909	1.909	1.709	GBM	1.909	0.0231049060186649	0.040175
1.58	1.88	0.88	1.78	1.68	GBM	1.78	0.0173286795139986	0.017
1.839	1.839	0.839	0.839	1.839	GBM	1.839	0.0138629436111989	0.007925
2.072	2.072	2.072	2.072	1.972	GBM	2.072	0.0231049060186649	0.0539
2.031	2.031	2.031	2.031	2.031	GBM	2.031	0.0231049060186649	0.052325
2.002	2.002	1.902	2.002	2.602	GBM	2.002	0.0138629436111989	0.05765
1.999	1.999	1.999	1.999	1.999	GBM	1.999	0.0231049060186649	0.049925
1.953	1.953	1.953	0.953	1.953	GBM	1.953	0.0173286795139986	0.031475
1.981	1.981	1.981	1.981	1.981	GBM	1.981	0.0231049060186649	0.048575
2.085	2.085	2.085	2.085	2.385	GBM	2.085	0.00831776616671935	0.060875
1.89	1.89	1.89	1.89	1.89	GBM	1.89	0.0231049060186649	0.04175
3.593	1.593	3.593	2.593	3.593	GBM	3.593	0.0231049060186649	0.124475
1.83	1.83	1.73	0.83	1.73	GBM	1.83	0.00831776616671935	0.01925
2.594	2.594	3.594	2.594	3.594	GBM	3.594	0.0231049060186649	0.12455
1.967	1.067	1.567	1.767	2.467	GBM	1.967	0.00831776616671935	0.032525
1.885	1.885	1.885	1.885	1.885	GBM	1.885	0.0231049060186649	0.041375
1.97	1.97	1.87	1.97	2.57	GBM	1.97	0.00831776616671935	0.05525
1.953	1.953	1.953	1.953	1.953	GBM	1.953	0.0231049060186649	0.046475
2.092	2.092	1.992	2.092	2.092	GBM	2.092	0.0231049060186649	0.0554
1.971	2.271	1.871	1.971	2.571	GBM	1.971	0.0231049060186649	0.059825
1.978	1.978	1.978	1.978	2.578	GBM	1.978	0.00831776616671935	0.05735
