Chr5	Chr9	Chr13	Chr14	Chr20	cancer	ploidy	deathRate	missegregationRate
3.996	3.996	3.996	3.996	3.696	GBM	3.996	0.02	0.05
1.949	1.949	1.849	1.949	1.949	GBM	1.949	0.02	0.05
1.843	1.843	1.143	1.843	1.843	GBM	1.843	0.02	0.05
2.055	2.055	2.055	2.055	2.055	GBM	2.055	0.02	0.05
3.14	2.24	3.24	3.14	3.14	GBM	3.14	0.02	0.05
3.652	4.052	4.052	4.052	3.552	GBM	4.052	0.02	0.05
1.921	1.921	1.921	1.021	1.921	GBM	1.921	0.02	0.05
1.965	1.965	1.965	1.965	2.565	GBM	1.965	0.02	0.05
2.003	2.003	2.003	2.003	2.603	GBM	2.003	0.02	0.05
2.052	2.052	2.052	2.052	3.052	GBM	2.052	0.02	0.05
1.884	1.684	1.684	0.884	2.484	GBM	1.884	0.02	0.05
3.069	2.169	1.769	1.769	2.869	GBM	2.769	0.02	0.05
1.537	1.937	1.237	1.937	1.637	GBM	1.937	0.02	0.05
2.141	2.141	2.141	2.141	2.741	GBM	2.141	0.02	0.05
3.859	4.359	3.559	2.359	3.359	GBM	3.359	0.02	0.05
1.998	2.098	1.898	2.098	2.298	GBM	2.098	0.02	0.05
2.003	2.003	1.103	2.003	2.003	GBM	2.003	0.02	0.05
1.912	2.312	1.912	2.012	1.912	GBM	1.912	0.02	0.05
1.909	1.909	1.909	1.909	1.709	GBM	1.909	0.02	0.05
1.58	1.88	0.88	1.78	1.68	GBM	1.78	0.02	0.05
1.839	1.839	0.839	0.839	1.839	GBM	1.839	0.02	0.05
2.072	2.072	2.072	2.072	1.972	GBM	2.072	0.02	0.05
2.031	2.031	2.031	2.031	2.031	GBM	2.031	0.02	0.05
2.002	2.002	1.902	2.002	2.602	GBM	2.002	0.02	0.05
1.999	1.999	1.999	1.999	1.999	GBM	1.999	0.02	0.05
1.953	1.953	1.953	0.953	1.953	GBM	1.953	0.02	0.05
1.981	1.981	1.981	1.981	1.981	GBM	1.981	0.02	0.05
2.085	2.085	2.085	2.085	2.385	GBM	2.085	0.02	0.05
1.89	1.89	1.89	1.89	1.89	GBM	1.89	0.02	0.05
3.593	1.593	3.593	2.593	3.593	GBM	3.593	0.02	0.05
1.83	1.83	1.73	0.83	1.73	GBM	1.83	0.02	0.05
2.594	2.594	3.594	2.594	3.594	GBM	3.594	0.02	0.05
1.967	1.067	1.567	1.767	2.467	GBM	1.967	0.02	0.05
1.885	1.885	1.885	1.885	1.885	GBM	1.885	0.02	0.05
1.97	1.97	1.87	1.97	2.57	GBM	1.97	0.02	0.05
1.953	1.953	1.953	1.953	1.953	GBM	1.953	0.02	0.05
2.092	2.092	1.992	2.092	2.092	GBM	2.092	0.02	0.05
1.971	2.271	1.871	1.971	2.571	GBM	1.971	0.02	0.05
1.978	1.978	1.978	1.978	2.578	GBM	1.978	0.02	0.05
