3.996	0	0	0	0	-0.3
1.949	0	0	-0.1	0	0
1.843	0	0	-0.7	0	0
2.055	0	0	0	0	0
3.14	0	-0.9	0.1	0	0
4.052	-0.4	0	0	0	-0.5
1.921	0	0	0	-0.9	0
1.965	0	0	0	0	0.6
2.003	0	0	0	0	0.6
2.052	0	0	0	0	1
1.884	0	-0.2	-0.2	-1	0.6
2.769	0.3	-0.6	-1	-1	0.1
1.937	-0.4	0	-0.7	0	-0.3
2.141	0	0	0	0	0.6
3.359	0.5	1	0.2	-1	0
2.098	-0.1	0	-0.2	0	0.2
2.003	0	0	-0.9	0	0
1.912	0	0.4	0	0.1	0
1.909	0	0	0	0	-0.2
1.78	-0.2	0.1	-0.9	0	-0.1
1.839	0	0	-1	-1	0
2.072	0	0	0	0	-0.1
2.031	0	0	0	0	0
2.002	0	0	-0.1	0	0.6
1.999	0	0	0	0	0
1.953	0	0	0	-1	0
1.981	0	0	0	0	0
2.085	0	0	0	0	0.3
1.89	0	0	0	0	0
3.593	0	-2	0	-1	0
1.83	0	0	-0.1	-1	-0.1
3.594	-1	-1	0	-1	0
1.967	0	-0.9	-0.4	-0.2	0.5
1.885	0	0	0	0	0
1.97	0	0	-0.1	0	0.6
1.953	0	0	0	0	0
2.092	0	0	-0.1	0	0
1.971	0	0.3	-0.1	0	0.6
1.978	0	0	0	0	0.6
