2186	2185
1:840001-248900000	3.33117499214577	3.15735518016385
2:1-76980000	3.19954193093728	3.12290616360384
2:77100001-81740000	4.25014749262537	4.36623553437713
2:81900001-184060000	3.15885894193359	3.18166130652913
2:184240001-241940000	4.89880994462119	4.88857166163635
3:40001-198080000	3.46018208511739	3.05539808039714
4:60001-1.9e+08	3.12966956394176	3.02914765947003
5:1-46400000	2.93832353384592	4.74414640086282
5:50140001-181260000	3.06661338448423	3.59057151288609
6:140001-170580000	3.07582986705815	3.2158438576349
7:20001-159300000	3.22964486493898	2.97580398485376
8:200001-145020000	3.18215532286213	2.86921063229964
9:220001-15860000	5.0050518134715	4.83519330410522
9:16040001-138100000	3.19585733274258	3.15147745475614
10:40001-133500000	3.33906466389688	3.06202522309905
11:200001-134900000	4.82336521745522	4.32654363584634
12:120001-133240000	3.03660541332915	3.20562757487526
13:15980001-114320000	3.23414180439293	2.91868509254214
14:19720001-96060000	3.22654155495979	3.23219220457826
14:96960001-106800000	1.37998575498575	1.52777777777778
15:17040001-19920000	3.31666666666667	3.19230769230769
15:22240001-101840000	3.30320841197088	3.23798660223572
16:20001-31920000	3.08868015414258	2.9122943530458
16:34580001-36160000	1.62380952380952	1.55799755799756
16:46400001-90060000	3.05301013941698	2.86655454811348
17:120001-21860000	3.06802083333333	3.21322115384615
17:26760001-73760000	4.98160504959423	5.32947215093293
17:73780001-83080000	4.31467823571945	4.20023360587352
18:160001-80240000	3.06633305532388	3.11858172408631
19:240001-58560000	3.11491970087042	3.30056298978697
20:40001-64240000	2.98933601609658	3.15547128927411
21:7900001-10420000	7.3	7.13846153846154
21:13420001-46660000	2.80762623088204	2.97021708649616
22:10700001-12620000	3.2	3.30769230769231
22:16020001-50620000	2.96852886405959	3.22370243040634
